listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status,bathrooms,bedrooms,receptions
https://www.freemanforman.co.uk/properties/21535994/sales/HAT250122,"Hartley Road, Cranbrook, Kent, TN17",475000,3 bedroom semi-detached house for sale,"['https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0288/1174x_/HAT250122_24.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0290/1174x_/HAT250122_18.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0293/1174x_/HAT250122_12.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0297/1174x_/HAT250122_04.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0300/1174x_/HAT250122_10.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0303/1174x_/HAT250122_02.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0307/1174x_/HAT250122_03.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0310/1174x_/HAT250122_26.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0314/1174x_/HAT250122_06.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0318/1174x_/HAT250122_07.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0322/1174x_/HAT250122_15.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0323/1174x_/HAT250122_05.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0324/1174x_/HAT250122_09.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0325/1174x_/HAT250122_19.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0326/1174x_/HAT250122_01.jpg']","Introducing this well presented three/four-bedroom, semi detached family home located in Cranbrook. The property benefits from ample off road parking, versatile accommodation, beautiful countryside views to the front, two bathrooms, a garage, solar panels, and further potential subject to the necessary planning permissions. The accommodation is arranged over two floors. On the ground floor, an entrance porch opens into a spacious and welcoming hallway. To the right, you’ll find an open plan living/dining room with doors leading out to the rear garden, allowing natural light to flow throughout the space. To the left of the hallway is a separate reception room, ideal as an additional dining room or a fourth bedroom, with a study positioned adjacent. The kitchen is fitted with wall and base units and benefits from an adjoining utility area and a downstairs shower room. On the first floor, there are three bedrooms, two of which feature built in storage, along with a family bathroom. The rear garden offers a full length patio area directly behind the house, perfect for outdoor seating. The remainder of the garden is mainly laid to lawn and includes a greenhouse and a shed. With scope for further enhancement, this property offers a fantastic opportunity to create a wonderful long term family home.",,,TN17,[],Freeman Property Auctioneers,Hawkhurst,Cranbrook,,01580820054,Field End High Street,TN18 4AB,Freehold,For Sale,2026-03-09,New,2,3,2
https://www.freemanforman.co.uk/properties/21535993/sales/HAT260060,"Red Oak, Hawkhurst, Cranbrook, Kent, TN18",375000,3 bedroom semi-detached house for sale,"['https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0287/1174x_/HAT260060_11.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0289/1174x_/HAT260060_04.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0292/1174x_/HAT260060_05.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0295/1174x_/HAT260060_10.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0298/1174x_/HAT260060_07.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0301/1174x_/HAT260060_08.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0304/1174x_/HAT260060_17.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0306/1174x_/HAT260060_03.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0309/1174x_/HAT260060_01.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0312/1174x_/HAT260060_02.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0315/1174x_/HAT260060_06.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0317/1174x_/HAT260060_09.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0319/1174x_/HAT260060_16.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46868/0321/1174x_/HAT260060_20.jpg']","**CRANBROOK SCHOOL CATCHMENT AREA!** Introducing a beautifully presented three bedroom, semi detached family home located in Hawkhurst. The property has been tastefully modernised by the current owners to a high standard, including a new combi gas boiler, updated flooring, a refurbished bathroom and kitchen, and bespoke fitted storage. The home offers three bedrooms, off road parking, and a generously sized private rear garden. Upon entering, you are welcomed into the entrance hall, with stairs ahead and bespoke built in storage beneath. The modern downstairs bathroom features a bath with overhead shower and glass screen, heated towel rail, sink basin, W.C, and partially tiled walls. The newly fitted shaker style kitchen includes wall and base units, wooden worktops, some integrated appliances, and space for a tall fridge freezer. This bright triple aspect room also provides a dining area and space for a utility section housing a washing machine and dryer. The living room enjoys double aspect windows that flood the space with natural light. It features wooden flooring and a cosy wood burning stove. The rear garden is fully enclosed with fencing, mainly laid to lawn, and offers a generous outdoor space. A newly laid decking area at the rear provides an ideal spot for outdoor seating, and there is also a timber shed for additional storage. The property further benefits from side access.",,,TN18,[],Freeman Property Auctioneers,Hawkhurst,Cranbrook,,01580820054,Field End High Street,TN18 4AB,Freehold,For Sale,2026-03-09,New,1,3,1
https://www.freemanforman.co.uk/properties/21535908/sales/TOE260115,"Hadlow Road, Tonbridge, Kent, TN9",895000,4 bedroom detached house for sale,[],"This distinguished detached Victorian residence is a truly special home, rich in character and enviably positioned just moments from the bustling town centre and well renowned Slade Primary School. Beautifully arranged over three generous floors, it exudes warmth and charm from the very first step inside, where original period details blend effortlessly with inviting, family friendly spaces. The entrance hall leads into an impressive double sitting room, cleverly designed with sliding doors to create either one expansive living area or two beautifully separate spaces. Whether children are happily playing in one section, or adults are relaxing by the fire in the other, this versatile arrangement offers the perfect balance of togetherness and tranquillity. Towards the rear, a wonderfully elegant dining room flows seamlessly into a spacious family kitchen, where large windows frame views of the stunning south facing garden and fill the space with natural light. The first-floor hosts three exceptionally generous bedrooms along with a well-appointed family bathroom, all offering comfortable, airy accommodation. The top floor provides an outstanding private retreat, ideal for a teenager, overnight guests or anyone seeking their own sanctuary. Here, a magnificent 16ft5 bedroom opens onto a flat roof terrace, creating a serene spot to sit and enjoy the views. A further room on this level offers superb flexibility, lending itself perfectly to use as a home office, dressing room or conversion into a luxurious en suite, shaping this floor into a beautifully self-contained haven. Outside, the property continues to impress. A front driveway provides off street parking for a couple of vehicles, while the rear garden is a true highlight. Benefiting from a perfect south facing orientation, it features an expansive patio designed for lively gatherings and summer barbecues. The remainder of the garden is laid to lawn, providing an ideal space for children to enjoy outdoor activities all year round. For those seeking a home that combines generous proportions, flexible living, timeless character and a superb south facing garden, all within an easy stroll of excellent schools and the full array of the town centre amenities, this exceptional property offers an unmissable opportunity.",,,TN9,[],Freeman Property Auctioneers,Tonbridge,Tonbridge,,01732430193,146 High Street,TN9 1BB,Freehold,For Sale,2026-03-09,New,1,4,4
https://www.freemanforman.co.uk/properties/21535847/sales/HAT250390,"Reeves Terrace, Ticehurst, East Sussex, TN5",400000,4 bedroom end of terrace house for sale,"['https://mr0.homeflow-assets.co.uk/files/photo/image/46867/7709/1174x_/HAT250390_09.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46867/7711/1174x_/HAT250390_18.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46867/7713/1174x_/HAT250390_06.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46867/7715/1174x_/HAT250390_17.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46867/7717/1174x_/HAT250390_05.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46867/7720/1174x_/HAT250390_14.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46867/7722/1174x_/HAT250390_26.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46867/7727/1174x_/HAT250390_02.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46867/7729/1174x_/HAT250390_03.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46867/7731/1174x_/HAT250390_04.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46867/7734/1174x_/HAT250390_23.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46867/7736/1174x_/HAT250390_21.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46867/7738/1174x_/HAT250390_12.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46867/7740/1174x_/HAT250390_13.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46867/7743/1174x_/HAT250390_22.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46867/7745/1174x_/HAT250390_20.jpg']","GUIDE PRICE: £400,000 – £425,000 CHAIN FREE! Introducing a beautifully presented four bedroom end of terrace home, located within a quiet residential close just off the popular Ticehurst High Street. Ideally positioned within walking distance of village amenities, this spacious property offers three reception rooms, four bedrooms, two W.Cs, off road parking for three vehicles, and a private rear garden. The ground floor features an entrance porch leading into a bright and airy living room. Adjacent to this is a separate dining room, filled with natural light and benefiting from double patio doors with full height glass panels either side. These doors open onto a side patio area laid with large slabs—an ideal spot for a bistro table and chairs. This room also includes a generous under stairs storage cupboard, with stairs rising to the first floor. Also on the ground floor is a convenient W.C, an additional reception room currently used as a study, and a well appointed kitchen fitted with wall and base units. The kitchen sink overlooks the garden, and white goods may be available - please discuss with the agent. A stable door provides access out to the rear garden. Upstairs, the property offers a landing area, four good sized bedrooms, and a modern family shower room featuring a walk in glass shower enclosure, sink basin, W.C, built in storage, and tiled floors and walls. The rear garden is low maintenance and well cared for, predominantly laid with patio slabs and complemented by raised flower beds and multiple seating areas. To the front, the property provides off road parking for two vehicles, with an additional allocated space nearby—providing three parking spaces in total.",,,TN5,[],Freeman Property Auctioneers,Hawkhurst,Cranbrook,?subject=https://www.freemanforman.co.uk/properties/21535847/sales/HAT250390,01580820054,Field End High Street,TN18 4AB,Freehold,For Sale,2026-03-09,New,1,4,3
https://www.freemanforman.co.uk/properties/21534915/sales/TOE260085,"Yardley Close, Tonbridge, Kent, TN9",1100000,4 bedroom detached house for sale,[],"GUIDE PRICE £1.1M TO £1.2M. Set within a quiet, exclusive cul de sac just a short walk from Tonbridge town centre, this immaculate detached executive home offers an exceptional standard of living for families seeking style, space and modern comfort. From the moment you step inside, the sense of quality and care is unmistakable. A welcoming entrance hall leads to a beautifully presented ground floor that includes a cloakroom, a versatile snug or evening sitting room, and a dedicated study ideal for remote working. The standout feature of the home is the stunning open plan kitchen/family room. Designed with both everyday living and entertaining in mind, this inspiring space is bright, sociable and finished to a superb standard, perfect for gatherings or relaxed moments with loved ones. Upstairs, the impressive master bedroom enjoys its own private en suite, while three further double bedrooms offer excellent flexibility for family life, guests or additional workspace. A modern family bathroom completes the first floor accommodation. Outside, the landscaped rear garden provides a beautiful backdrop for outdoor dining, play and seasonal entertaining, thoughtfully designed to be enjoyed all year round. To the front, a generous driveway provides ample off street parking for several cars, complemented by the convenience of a garage. This remarkable home combines a prime location with outstanding living spaces and impeccable presentation. A viewing is highly recommended, contact us today to arrange your visit.",,,TN9,[],Freeman Property Auctioneers,Tonbridge,Tonbridge,,01732430193,146 High Street,TN9 1BB,Freehold,For Sale,2026-03-09,New,2,4,3
https://www.freemanforman.co.uk/properties/21533610/sales/UCD260008,"Hunters Way, Uckfield, East Sussex, TN22",525000,4 bedroom detached house for sale,"['https://mr0.homeflow-assets.co.uk/files/photo/image/46863/9575/1174x_/UCD260008_05.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46863/9582/1174x_/UCD260008_10.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46863/9589/1174x_/UCD260008_13.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46863/9597/1174x_/UCD260008_12.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46863/9603/1174x_/UCD260008_01.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46863/9610/1174x_/UCD260008_07.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46863/9618/1174x_/UCD260008_06.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46863/9626/1174x_/UCD260008_16.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46863/9632/1174x_/UCD260008_18.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46863/9638/1174x_/UCD260008_15.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46863/9645/1174x_/UCD260008_17.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46863/9652/1174x_/UCD260008_19.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46863/9660/1174x_/UCD260008_20.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46863/9667/1174x_/UCD260008_03.jpg']","This beautiful, detached, split level home is positioned in a quiet, cul de sac and benefits from a double garage and beautifully landscaped gardens. The accommodation comprises of entrance hall leading through to the spacious living room with dual aspect windows including a large bow window to the front allowing the room to flood with light! To the rear of this you'll find the kitchen which is half open to the dining area, and the conservatory beyond. Just a few stairs off the living room lead to the landing, giving access to all four bedrooms, the family bathroom, and a handy, separate cloakroom. Externally, the property is approached by a good size driveway which runs adjacent to the level front lawn and leads to the double garage. There is side access to the rear garden which is arranged over three levels offering a patio area, a raised garden with mature boarders, and a further level offering the perfect spot to relax and enjoy far reaching views across town to the South Downs beyond. This is a fantastic home that could lend itself as the perfect place for a growing family, or someone looking to downsize to a quiet road on the edge of town, but still just a 10/15minute walk to the high street. The home has been well cared over the years and although could benefit from a little updating here and there, is beautifully presented throughout.",,,TN22,[],Freeman Property Auctioneers,Uckfield,Uckfield,?subject=https://www.freemanforman.co.uk/properties/21533610/sales/UCD260008,01825480013,94 High Street,TN22 1PU,Freehold,For Sale,2026-03-09,New,1,4,3
https://www.freemanforman.co.uk/properties/21533609/sales/TOE260110,"Pembury Road, Tonbridge, Kent, TN9",400000,2 bedroom end of terrace house for sale,[],"GUIDE PRICE OF £400,000 TO £425,000. Constructed in 2019, this luxury modern end of terrace house enjoys an enviable position just a short walk from highly regarded grammar schools, the bustling town centre, and the mainline station. Presented in immaculate condition throughout, it offers an ideal opportunity for a professional couple seeking a stylish, move in ready home with exceptional convenience to all local amenities. From the moment you step inside, the quality of finish is immediately apparent. The welcoming entrance hall sets the tone for the rest of the property, leading through to a contemporary cloakroom and an impressive open plan kitchen family room overlooking the garden. Designed with both everyday living and entertaining in mind, this superb space combines modern style with excellent functionality. The first floor provides two generous double bedrooms, each benefitting from its own private en suite, offering comfort and privacy for both residents and guests. Outside, the property features a front garden with a paved pathway that guides you to the entrance, while the rear boasts a low maintenance garden, perfect for unwinding in a peaceful setting after a busy day. Additional convenience comes in the form of an allocated parking space within the residents’ private car park, complemented by visitor bays for guests. If you’re seeking a pristine home in a prime location close to outstanding schools and excellent transport links, an early viewing is strongly recommended. Contact us today to arrange your visit!",,,TN9,[],Freeman Property Auctioneers,Tonbridge,Tonbridge,,01732430193,146 High Street,TN9 1BB,Freehold,For Sale,2026-03-09,New,2,2,1
https://www.freemanforman.co.uk/properties/21533410/sales/UCD260012,"High Street, Uckfield, East Sussex, TN22",185000,1 bedroom flat for sale,[],"This apartment really does feel like you own your own house! With its own private patio garden, and occupying the first and second floors of the building, you are set up and away from the high street. The large, double glazed windows allow for an abundance of light to fill the rooms. The entrance hallway offers a handy storage cupboard, and gives access to the refitted kitchen which has been very thoughtfully designed for someone who enjoys cooking and wants a good balance of storage and working space. The hallway also gives access to the living room which offers character with tall ceilings, picture rails and has alcoves either side of the chimney breast. Stairs from the hallway lead you onto a spacious landing which is currently being utilised as an office area and has a good size storage cupboard, and gives access to the good size double bedroom also with storage cupboard, and the spacious bathroom with utility area. Externally, the property is situated above Uckfield High Street and can be accessed from the High Street by secure entrance or via the lane parallel behind the High Street. A flight of steps will lead to your private, gated, patio garden where your front door is located.",,,TN22,[],Freeman Property Auctioneers,Uckfield,Uckfield,,01825480013,94 High Street,TN22 1PU,Leasehold,For Sale,2026-03-09,New,1,1,1
https://www.freemanforman.co.uk/properties/21532610/sales/MEE250388,"Sutton Park Road, SEAFORD, East Sussex, BN25",550000,5 bedroom semi-detached house for sale,"['https://mr0.homeflow-assets.co.uk/files/photo/image/46861/2644/1174x_/MEE250388_02.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46861/2646/1174x_/MEE250388_03.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46861/2648/1174x_/MEE250388_07.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46861/2651/1174x_/MEE250388_08.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46861/2653/1174x_/MEE250388_12.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46861/2656/1174x_/MEE250388_10.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46861/2657/1174x_/MEE250388_15.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46861/2660/1174x_/MEE250388_13.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46861/2662/1174x_/MEE250388_04.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46861/2664/1174x_/MEE250388_05.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46861/2665/1174x_/MEE250388_11.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46861/2667/1174x_/MEE250388_01.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46861/2668/1174x_/MEE250388_06.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46861/2670/1174x_/MEE250388_09.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46861/2672/1174x_/MEE250388_14.jpg']","Nestled within one of Seaford’s most sought after locations, and just a short stroll from both Seaford High Street and Seaford Train Station, this substantial period residence is a rare opportunity. Steeped in character, the property offers versatile and expansive accommodation, with five bedrooms and four reception rooms, providing exceptional space for a growing family, multi generational living, or those who enjoy entertaining. Period features are found throughout, lending a timeless charm and a sense of history that is increasingly hard to find. This impressive home presents an exciting chance for its next owner to restore, modernise, and reimagine the space to suit their lifestyle. Whether your vision leans toward preserving its heritage or creating a contemporary masterpiece, the property offers a superb canvas for transformation. Beyond its residential appeal, the generous proportions and layout also lend themselves to a variety of commercial possibilities, such as a medical practice, dental surgery, or children’s nursery—subject to the necessary consents. Opportunities of this scale and character in such a prime Seaford location are seldom available. This is your chance to secure a remarkable property with endless potential and to shape its next chapter.",,,BN25,[],Freeman Property Auctioneers,Eastbourne,Eastbourne,?subject=https://www.freemanforman.co.uk/properties/21532610/sales/MEE250388,01323800065,44 Terminus Road,BN21 3LP,Freehold,For Sale,2026-03-09,New,3,5,3
https://www.freemanforman.co.uk/properties/21531717/sales/HED260052,"Highview Road, Broad Oak, Heathfield, East Sussex, TN21",370000,2 bedroom detached bungalow for sale,"['https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2785/1174x_/HED260052_06.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2787/1174x_/HED260052_25.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2789/1174x_/HED260052_02.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2791/1174x_/HED260052_11.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2793/1174x_/HED260052_30.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2795/1174x_/HED260052_18.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2797/1174x_/HED260052_04.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2799/1174x_/HED260052_23.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2801/1174x_/HED260052_05.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2803/1174x_/HED260052_31.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2804/1174x_/HED260052_32.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2806/1174x_/HED260052_15.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2808/1174x_/HED260052_08.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2809/1174x_/HED260052_33.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2810/1174x_/HED260052_51.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2811/1174x_/HED260052_27.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2812/1174x_/HED260052_29.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2813/1174x_/HED260052_09.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2814/1174x_/HED260052_10.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2815/1174x_/HED260052_20.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2816/1174x_/HED260052_13.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2817/1174x_/HED260052_07.jpg', 'https://mr0.homeflow-assets.co.uk/files/photo/image/46859/2818/1174x_/HED260052_12.jpg']","Located in the popular village of Broad Oak, this beautifully presented two bedroom detached bungalow offers an ideal balance of countryside calm and everyday convenience. Just moments from local shops and only a mile from Heathfield, the home also benefits from enjoyable walks nearby and a mainline station around 15 minutes away. A welcoming entrance hall leads to a bright double aspect living room with French doors to the garden and a cosy log burner. The bright and practical kitchen is well equipped with a large range cooker and integral appliances. Both bedrooms are good sized doubles, with the rear bedroom enjoying fitted wardrobes and views over the garden. The bathroom has been stylishly refitted and the property features a new roof and boiler (2024). The former garage has been fully insulated and converted into a versatile additional room, ideal for a home office, therapy room or studio, while still retaining the original up and over door to the front. The garden is a standout feature, beautifully landscaped with mature planting, multiple seating areas, raised beds, a greenhouse and a large shed/workshop. To the front, mature hedging provides privacy and the driveway offers ample offroad parking. Located in the sought-after village of Broad Oak which enjoys far reaching countryside views over the rolling Rother Valley. Broad Oak enjoys an excellent Spar shop/Post Office, hairdressers, Village Hall and Church. The High Street in the market town of Heathfield is only 1.5 miles distance and provides an excellent and diverse range of shopping facilities. The spa towns of Royal Tunbridge Wells and the Coast at Eastbourne are approximately 14 and 17 miles distance respectively and rail service to London can be found at Buxted and Stonegate stations.",,,TN21,[],Freeman Property Auctioneers,Heathfield,HEATHFIELD,?subject=https://www.freemanforman.co.uk/properties/21531717/sales/HED260052,01435220058,The Mews Station Road,TN21 8LD,Freehold,For Sale,2026-03-09,New,1,2,2
https://www.freemanforman.co.uk/properties/21531703/sales/TOE260100,"Wilson Road, Tonbridge, Kent, TN10",350000,2 bedroom semi-detached house for sale,[],"GUIDE PRICE £350,000 TO £375,000. Set within a peaceful residential road in north Tonbridge and just a short stroll from the highly sought-after Woodlands Primary School, this beautifully presented semi-detached home offers an ideal first step onto the property ladder. Thoughtfully updated by the current owners, the house combines modern style with a warm, welcoming atmosphere, making it perfect for a professional couple seeking a home that is immaculate and ready to move straight into. The accommodation begins with an inviting entrance hall that leads into a cosy sitting room, an ideal space for relaxing evenings. To the rear of the property lies the impressive kitchen/breakfast room, the true heart of the home, featuring contemporary finishes and French doors that open directly onto the garden. A separate utility room and a convenient cloakroom add further practicality to the ground floor layout, particularly useful for busy households or visiting guests. Upstairs, you will find two generously sized double bedrooms, both filled with natural light, along with a recently fitted shower room designed to make busy mornings effortless. The rear garden has been thoughtfully arranged with entertaining in mind; a patio area sits just outside the kitchen, providing the perfect spot for alfresco dining or unwinding after a long day, while the remaining lawn offers plenty of space for children to play or for keen gardeners to enjoy. This superb modern home delivers style, comfort and convenience in equal measure, all within easy reach of one of Tonbridge’s most desirable schools. Contact us today to arrange your viewing and see for yourself what makes this property so special.",,,TN10,[],Freeman Property Auctioneers,Tonbridge,Tonbridge,,01732430193,146 High Street,TN9 1BB,Freehold,For Sale,2026-03-09,New,1,2,2
