listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.lblrealestate.co.uk/couch/uploads/file/140-deansgate-manchester(1).pdf,"140 Deansgate, Manchester, M3 2RP",,"Bar, Restaurant & Leisure",https://www.lblrealestate.co.uk/couch/uploads/image/img_3414-copy.jpg,,7678,,M3 2RP,['https://www.lblrealestate.co.uk/couch/uploads/file/140-deansgate-manchester(1).pdf'],LBL Real Estate,,,,,,,,To Let,2026-02-18,Old
https://www.lblrealestate.co.uk/couch/uploads/file/sunlight-house-manchester-leisure.pdf,"Former Bannatynes, Sunlight House, Manchester, M3 3JU",,Bar Restaurant / Leisure,https://www.lblrealestate.co.uk/couch/uploads/image/241018-ano-sho19-exterior-front.jpg,,26000,,M3 3JU,['https://www.lblrealestate.co.uk/couch/uploads/file/sunlight-house-manchester-leisure.pdf'],LBL Real Estate,,,,,,,,To Let,2026-02-18,Old
https://www.lblrealestate.co.uk/couch/uploads/file/sunlight-house-manchester-leisure(1).pdf,"Sunlight House, Quay Street, Manchester, M3 3JU",,Cafe / Bar Restaurant,https://www.lblrealestate.co.uk/couch/uploads/image/241018-ano-sho19-exterior-corner-vd.jpg,,1200,,M3 3JU,['https://www.lblrealestate.co.uk/couch/uploads/file/sunlight-house-manchester-leisure(1).pdf'],LBL Real Estate,,,,,,,,To Let,2026-02-18,Old
https://www.lblrealestate.co.uk/couch/uploads/file/new-church-house-manchester(1).pdf,"New Church House, 34 John Dalton Street, Manchester, M2 5LE",60000,Retail / Hair Salon / F & B,https://www.lblrealestate.co.uk/couch/uploads/image/red-lined-elevation.jpg,,1510,,M2 5LE,['https://www.lblrealestate.co.uk/couch/uploads/file/new-church-house-manchester(1).pdf'],LBL Real Estate,,,,,,,,For Sale,2026-02-18,Old
https://www.lblrealestate.co.uk/couch/uploads/file/griffin-house-manchester(1).pdf,"Griffin House, 40 Lever Street, Manchester, M60 6ES",,Retail / F & B / Leisure,https://www.lblrealestate.co.uk/couch/uploads/image/front-elevation.jpeg,,5650,,M60 6ES,['https://www.lblrealestate.co.uk/couch/uploads/file/griffin-house-manchester(1).pdf'],LBL Real Estate,,,,,,,,To Let,2026-02-18,Old
https://www.lblrealestate.co.uk/couch/uploads/file/bridge-inn-port-sunlight-brochure.pdf,"BRIDGE INN, BOLTON ROAD, PORT SUNLIGHT, WIRRAL, CH62 4UQ",1000000,Public House Investment,https://www.lblrealestate.co.uk/couch/uploads/image/img_674629.jpg,,22000,,CH62 4UQ,['https://www.lblrealestate.co.uk/couch/uploads/file/bridge-inn-port-sunlight-brochure.pdf'],LBL Real Estate,,,,,,,,For Sale,2026-02-18,Old
https://www.lblrealestate.co.uk/couch/uploads/file/4-12-st-marys-street-manchester.pdf,"4 - 12 St Marys St, Manchester, M3 2LB",,BAR RESTAURANT / LEISURE,https://www.lblrealestate.co.uk/couch/uploads/image/front-elevation(2).jpg,,4185,,M3 2LB,['https://www.lblrealestate.co.uk/couch/uploads/file/4-12-st-marys-street-manchester.pdf'],LBL Real Estate,,,,,,,,To Let,2026-02-18,Old
https://www.lblrealestate.co.uk/couch/uploads/file/riverside-burnley-brochure.pdf,"Barrowford Road, Barrowford, Burnley, BB9 6QF",,Freehold Mixed Use Development Site,https://www.lblrealestate.co.uk/couch/uploads/image/aerial-copy.png,,,3.0,BB9 6QF,['https://www.lblrealestate.co.uk/couch/uploads/file/riverside-burnley-brochure.pdf'],LBL Real Estate,,,,,,,Freehold,For Sale,2026-02-18,Old
https://www.lblrealestate.co.uk/couch/uploads/file/leisure-space-oriel-chambers(2).pdf,"Oriel Chambers, Water Street, Liverpool, L2 8TD",,Leisure / Gym,https://www.lblrealestate.co.uk/couch/uploads/image/front-elevation-gym(1).jpeg,,4115,,L2 8TD,['https://www.lblrealestate.co.uk/couch/uploads/file/leisure-space-oriel-chambers(2).pdf'],LBL Real Estate,,,,,,,,To Let,2026-02-18,Old
https://www.lblrealestate.co.uk/couch/uploads/file/suburban-green-wilmslow-brochure.pdf,"4 Hawthorn Lane, Wilmslow, SK9 1AA",,Bar Restaurant Lease Disposal,https://www.lblrealestate.co.uk/couch/uploads/image/img_8755.jpg,,2406,,SK9 1AA,['https://www.lblrealestate.co.uk/couch/uploads/file/suburban-green-wilmslow-brochure.pdf'],LBL Real Estate,,,,,,,,For Sale,2026-02-18,Old
https://www.lblrealestate.co.uk/couch/uploads/file/lbl-23-central-way-altrincham.pdf,"23 Central Way, Altrincham, WA14 1RF",,BAR RESTAURANT / LEISURE,https://www.lblrealestate.co.uk/couch/uploads/image/front-page-brochure-cgi.jpeg,,3485,,WA14 1RF,['https://www.lblrealestate.co.uk/couch/uploads/file/lbl-23-central-way-altrincham.pdf'],LBL Real Estate,,,,,,,,To Let,2026-02-18,Old
https://www.lblrealestate.co.uk/couch/uploads/file/windsor-court-liverpool.pdf,"112-128 London Road, Liverpool, L3 5NL",,Retail & Leisure Opportunities,https://www.lblrealestate.co.uk/couch/uploads/image/img_9844.jpg,,1825,,L3 5NL,['https://www.lblrealestate.co.uk/couch/uploads/file/windsor-court-liverpool.pdf'],LBL Real Estate,,,,,,,,To Let,2026-02-18,Old
https://www.lblrealestate.co.uk,"17-18 Williamson Square, Liverpool L1 1PW",,Retail / F & B,https://www.lblrealestate.co.uk/couch/uploads/image/front-elevation-red-line.jpg,,1552,,L1 1PW,['https://www.lblrealestate.co.uk'],LBL Real Estate,,,,,,,,To Let,2026-02-18,Old
https://www.lblrealestate.co.uk/couch/uploads/file/laystall-street-manchester-letting-partics(1).pdf,"Unit 3, 40 Laystall St, Manchester, M1 2JZ",,Leisure / F & B,https://www.lblrealestate.co.uk/couch/uploads/image/unit-3-laystall.jpg,,13104,,M1 2JZ,['https://www.lblrealestate.co.uk/couch/uploads/file/laystall-street-manchester-letting-partics(1).pdf'],LBL Real Estate,,,,,,,,To Let,2026-02-18,Old
https://www.lblrealestate.co.uk/couch/uploads/file/the-curve-heswell-final(1).pdf,"139 - 141 Telegraph Road, Heswall, CH60 7SE",2350000,Freehold Retail & Leisure Investment,https://www.lblrealestate.co.uk/couch/uploads/image/the-curve-heswall.jpg,,15366,,CH60 7SE,['https://www.lblrealestate.co.uk/couch/uploads/file/the-curve-heswell-final(1).pdf'],LBL Real Estate,,,,,,,Freehold,For Sale,2026-02-18,Old
https://www.lblrealestate.co.uk/couch/uploads/file/mulberry-street-liverpool-brochure13.pdf,"109 - 113 Mulberry Street, Liverpool, L7 7EE",2750000,Freehold Student PBSA Development Site,https://www.lblrealestate.co.uk/couch/uploads/image/mulberry-street-front-elevation-copy.jpeg,,,0.4,L7 7EE,['https://www.lblrealestate.co.uk/couch/uploads/file/mulberry-street-liverpool-brochure13.pdf'],LBL Real Estate,,,,,,,Freehold,For Sale,2026-02-18,Old
https://www.lblrealestate.co.uk/couch/uploads/file/cook-st-liverpool.pdf,"4 - 6 Cook Street, Liverpool, L2 9QU",,Bar Restaurant / Leisure,https://www.lblrealestate.co.uk/couch/uploads/image/front_elevation.jpg,,8635,,L2 9QU,['https://www.lblrealestate.co.uk/couch/uploads/file/cook-st-liverpool.pdf'],LBL Real Estate,,,,,,,,To Let,2026-02-18,Old
https://www.lblrealestate.co.uk/couch/uploads/file/omega-warrington-site-plan.pdf,"Fortress Boulevard, Great Sankey, Warrington, WA5 3ZT",,ROADSIDE DEVELOPMENT SITES (MAY SELL),https://www.lblrealestate.co.uk/couch/uploads/image/img_1348-copy.jpg,,,4.5,WA5 3ZT,['https://www.lblrealestate.co.uk/couch/uploads/file/omega-warrington-site-plan.pdf'],LBL Real Estate,,,,,,,,To Let,2026-02-18,Old
